model,task,technique,paraphrase,temperature,n,accuracy,parse_rate,mean_tokens,mean_latency_s,vote_accuracy,vote_parse_rate
llama3.2:1b,gsm8k,direct,1,0.0,100,0.12,1.0,34.38,0.41153962406001027,,
llama3.2:1b,gsm8k,direct,1,0.3,100,0.1,1.0,32.17,0.349119527229991,,
llama3.2:1b,gsm8k,direct,1,0.7,100,0.16,1.0,37.38,0.3829998292899927,,
llama3.2:1b,gsm8k,direct,1,1.0,100,0.09,1.0,26.24,0.30437793726999646,,
llama3.2:1b,gsm8k,direct,2,0.0,100,0.29,1.0,80.51,0.7160419427400848,,
llama3.2:1b,gsm8k,direct,3,0.0,100,0.32,1.0,79.69,0.7119944568300344,,
llama3.2:1b,gsm8k,direct,4,0.0,100,0.42,1.0,124.63,1.0423942533699573,,
llama3.2:1b,gsm8k,fs_cot,1,0.0,100,0.08,1.0,167.58,1.4242240348000315,,
llama3.2:1b,gsm8k,fs_cot,1,0.3,100,0.04,1.0,184.1,1.3915046564800104,,
llama3.2:1b,gsm8k,fs_cot,1,0.7,100,0.06,0.99,168.46,1.270289197959987,,
llama3.2:1b,gsm8k,fs_cot,1,1.0,100,0.06,0.99,182.83,1.3631575057099825,,
llama3.2:1b,gsm8k,fs_cot,2,0.0,100,0.12,0.99,323.84,2.524099563169975,,
llama3.2:1b,gsm8k,fs_cot,3,0.0,100,0.25,1.0,159.54,1.3053150723700038,,
llama3.2:1b,gsm8k,fs_cot,4,0.0,100,0.09,1.0,273.47,2.150664308160003,,
llama3.2:1b,gsm8k,self_consistency,1,0.7,400,0.11,0.995,182.43,1.3777137536700206,0.11,1.0
llama3.2:1b,gsm8k,self_consistency,2,0.7,400,0.15,0.9975,289.6125,2.053463935630016,0.15,1.0
llama3.2:1b,gsm8k,self_consistency,3,0.7,400,0.42,0.9975,177.165,1.3032380682899884,0.42,1.0
llama3.2:1b,gsm8k,self_consistency,4,0.7,400,0.21,0.9875,234.62,1.686483449569996,0.21,1.0
llama3.2:1b,gsm8k,zs_cot,1,0.0,100,0.5,1.0,177.5,1.46516279373001,,
llama3.2:1b,gsm8k,zs_cot,1,0.3,100,0.48,1.0,175.79,1.3119617638800218,,
llama3.2:1b,gsm8k,zs_cot,1,0.7,100,0.49,1.0,185.36,1.372334892419999,,
llama3.2:1b,gsm8k,zs_cot,1,1.0,100,0.41,1.0,191.23,1.3938437900400231,,
llama3.2:1b,gsm8k,zs_cot,2,0.0,100,0.47,1.0,217.36,1.7253189877899786,,
llama3.2:1b,gsm8k,zs_cot,3,0.0,100,0.5,1.0,181.41,1.4601361454900235,,
llama3.2:1b,gsm8k,zs_cot,4,0.0,100,0.45,1.0,197.14,1.5790827938900203,,
llama3.2:1b,humaneval,direct,1,0.0,164,0.31097560975609756,1.0,58.15243902439025,0.5571449377255804,,
llama3.2:1b,humaneval,direct,2,0.0,164,0.35365853658536583,1.0,71.7439024390244,0.6567153469938891,,
llama3.2:1b,humaneval,fs_cot,1,0.0,164,0.31097560975609756,1.0,131.89634146341464,1.10403018988417,,
llama3.2:1b,humaneval,fs_cot,2,0.0,164,0.2926829268292683,1.0,88.51829268292683,0.7838184125548651,,
llama3.2:1b,humaneval,self_consistency,1,0.7,656,0.20121951219512196,1.0,131.52743902439025,0.9998225751508931,0.20121951219512196,1.0
llama3.2:1b,humaneval,self_consistency,2,0.7,656,0.2073170731707317,1.0,99.16920731707317,0.7844435339481424,0.2073170731707317,1.0
llama3.2:1b,humaneval,zs_cot,1,0.0,164,0.21951219512195122,1.0,481.3780487804878,3.6834919365488177,,
llama3.2:1b,humaneval,zs_cot,2,0.0,164,0.2621951219512195,1.0,549.4329268292682,4.186057150719502,,
llama3.2:3b,gsm8k,direct,1,0.0,100,0.53,1.0,78.98,0.9960776582700782,,
llama3.2:3b,gsm8k,direct,1,0.3,100,0.53,0.99,79.52,0.9301320785299504,,
llama3.2:3b,gsm8k,direct,1,0.7,100,0.43,0.98,73.77,0.871831941540022,,
llama3.2:3b,gsm8k,direct,1,1.0,100,0.53,0.99,73.71,0.8734808956699635,,
llama3.2:3b,gsm8k,direct,2,0.0,100,0.72,1.0,121.32,1.4353590278599586,,
llama3.2:3b,gsm8k,direct,3,0.0,100,0.39,0.96,53.87,0.7106761171399012,,
llama3.2:3b,gsm8k,direct,4,0.0,100,0.77,1.0,153.86,1.7844048374299564,,
llama3.2:3b,gsm8k,fs_cot,1,0.0,100,0.7,1.0,172.71,2.0652796345500066,,
llama3.2:3b,gsm8k,fs_cot,1,0.3,100,0.74,1.0,180.56,1.9715898162899612,,
llama3.2:3b,gsm8k,fs_cot,1,0.7,100,0.72,1.0,172.48,1.8861619991299994,,
llama3.2:3b,gsm8k,fs_cot,1,1.0,100,0.66,1.0,185.99,2.0241574393500925,,
llama3.2:3b,gsm8k,fs_cot,2,0.0,100,0.67,1.0,191.89,2.219129887460058,,
llama3.2:3b,gsm8k,fs_cot,3,0.0,100,0.66,1.0,185.31,2.1465893280799535,,
llama3.2:3b,gsm8k,fs_cot,4,0.0,100,0.79,1.0,198.49,2.287426573680059,,
llama3.2:3b,gsm8k,self_consistency,1,0.7,400,0.88,1.0,180.61,1.9630941046850239,0.88,1.0
llama3.2:3b,gsm8k,self_consistency,2,0.7,400,0.82,1.0,183.92,1.996633895125001,0.82,1.0
llama3.2:3b,gsm8k,self_consistency,3,0.7,400,0.91,1.0,190.0325,2.0887043965500336,0.91,1.0
llama3.2:3b,gsm8k,self_consistency,4,0.7,400,0.87,1.0,199.8125,2.313719796722412,0.87,1.0
llama3.2:3b,gsm8k,zs_cot,1,0.0,100,0.75,1.0,185.26,2.1245641901598535,,
llama3.2:3b,gsm8k,zs_cot,1,0.3,100,0.79,1.0,183.66,1.9804939119699703,,
llama3.2:3b,gsm8k,zs_cot,1,0.7,100,0.72,1.0,207.27,2.222408044480053,,
llama3.2:3b,gsm8k,zs_cot,1,1.0,100,0.76,1.0,187.47,2.0179408630800024,,
llama3.2:3b,gsm8k,zs_cot,2,0.0,100,0.81,1.0,221.06,2.600932817120156,,
llama3.2:3b,gsm8k,zs_cot,3,0.0,100,0.82,1.0,195.09,2.3602679747100774,,
llama3.2:3b,gsm8k,zs_cot,4,0.0,100,0.77,1.0,202.12,2.4727397932898385,,
llama3.2:3b,humaneval,direct,1,0.0,164,0.5,1.0,109.84146341463415,1.3975317263721747,,
llama3.2:3b,humaneval,direct,2,0.0,164,0.4878048780487805,1.0,94.27439024390245,1.243972570451239,,
llama3.2:3b,humaneval,fs_cot,1,0.0,164,0.5,1.0,65.5670731707317,0.8905068169818084,,
llama3.2:3b,humaneval,fs_cot,2,0.0,164,0.5,1.0,71.17073170731707,0.9841378192622204,,
llama3.2:3b,humaneval,self_consistency,1,0.7,656,0.4146341463414634,1.0,70.27134146341463,0.8798628372606611,0.4146341463414634,1.0
